"","K0","R0","N","Ti","cancor.Theta.RPC","cancor.F.RPC","err.Theta.RPC","err.F.RPC","K=0","K=1","K=2","K=3","K=4","R=0","R=1","R=2","R=3","R=4"
"ICp3",0,2,20,200,0,0.933665024247367,0,0.633335429631261,100,0,0,0,0,1,11,88,0,0
"PCp1",0,2,50,200,0,0.975051186444944,0,0.402671054267863,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,50,200,0,0.975051186444944,0,0.402671054267863,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,50,200,0,0.975051186444944,0,0.402671054267863,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,50,200,0,0.975051186444944,0,0.402671054267863,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,50,200,0,0.975051186444944,0,0.402671054267863,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,50,200,0,0.975051186444944,0,0.402671054267863,100,0,0,0,0,0,0,100,0,0
"PCp1",0,2,100,200,0,0.987804999762977,0,0.285378166629943,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,100,200,0,0.987804999762977,0,0.285378166629943,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,100,200,0,0.987804999762977,0,0.285378166629943,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,100,200,0,0.987804999762977,0,0.285378166629943,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,100,200,0,0.987804999762977,0,0.285378166629943,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,100,200,0,0.987804999762977,0,0.285378166629943,100,0,0,0,0,0,0,100,0,0
"PCp1",0,2,200,200,0,0.99406694480013,0,0.200984186691533,100,0,0,0,0,0,0,100,0,0
"ICp1",0,2,200,200,0,0.99406694480013,0,0.200984186691533,100,0,0,0,0,0,0,100,0,0
"PCp2",0,2,200,200,0,0.99406694480013,0,0.200984186691533,100,0,0,0,0,0,0,100,0,0
"ICp2",0,2,200,200,0,0.99406694480013,0,0.200984186691533,100,0,0,0,0,0,0,100,0,0
"PCp3",0,2,200,200,0,0.99406694480013,0,0.200984186691533,100,0,0,0,0,0,0,100,0,0
"ICp3",0,2,200,200,0,0.99406694480013,0,0.200984186691533,100,0,0,0,0,0,0,100,0,0
