"","K0","R0","N","Ti","cancor.Theta.RPC","cancor.F.RPC","err.Theta.RPC","err.F.RPC","K=0","K=1","K=2","K=3","K=4","R=0","R=1","R=2","R=3","R=4"
"PCp1",2,2,20,200,0.993454601186405,0.933115539351966,0.212524564595649,0.636551538472729,0,34,66,0,0,0,10,90,0,0
"ICp1",2,2,20,200,0.993454601186405,0.933115539351966,0.212524564595649,0.636551538472729,0,41,59,0,0,5,23,72,0,0
"PCp2",2,2,20,200,0.993454601186405,0.933115539351966,0.212524564595649,0.636551538472729,0,37,63,0,0,0,13,87,0,0
"ICp2",2,2,20,200,0.993454601186405,0.933115539351966,0.212524564595649,0.636551538472729,0,46,54,0,0,8,27,65,0,0
"PCp3",2,2,20,200,0.993454601186405,0.933115539351966,0.212524564595649,0.636551538472729,0,31,69,0,0,0,6,94,0,0
"ICp3",2,2,20,200,0.993454601186405,0.933115539351966,0.212524564595649,0.636551538472729,0,32,68,0,0,3,13,84,0,0
"PCp1",2,2,50,200,0.997692956470941,0.974822715290782,0.133318705644507,0.404669662741104,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,50,200,0.997692956470941,0.974822715290782,0.133318705644507,0.404669662741104,0,1,99,0,0,0,0,100,0,0
"PCp2",2,2,50,200,0.997692956470941,0.974822715290782,0.133318705644507,0.404669662741104,0,1,99,0,0,0,0,100,0,0
"ICp2",2,2,50,200,0.997692956470941,0.974822715290782,0.133318705644507,0.404669662741104,0,2,98,0,0,0,0,100,0,0
"PCp3",2,2,50,200,0.997692956470941,0.974822715290782,0.133318705644507,0.404669662741104,0,0,100,0,0,0,0,100,0,0
"ICp3",2,2,50,200,0.997692956470941,0.974822715290782,0.133318705644507,0.404669662741104,0,0,100,0,0,0,0,100,0,0
"PCp1",2,2,100,200,0.998807377946147,0.987715584308415,0.0922517080919552,0.286690365379502,0,0,100,0,0,0,0,100,0,0
"ICp1",2,2,100,200,0.998807377946147,0.987715584308415,0.0922517080919552,0.286690365379502,0,0,100,0,0,0,0,100,0,0
"PCp2",2,2,100,200,0.998807377946147,0.987715584308415,0.0922517080919552,0.286690365379502,0,0,100,0,0,0,0,100,0,0
"ICp2",2,2,100,200,0.998807377946147,0.987715584308415,0.0922517080919552,0.286690365379502,0,0,100,0,0,0,0,100,0,0
