"","sigma","N","Ti","fit1","fit2","fit3"
"out",0.2,30,30,0.0885,0.0664,0.0324
"out",0.2,50,50,0.0915,0.0748,0.0353
"out",0.2,70,70,0.0918,0.0785,0.0367
"out",0.2,100,100,0.0931,0.0831,0.0377
"out",0.2,150,150,0.0934,0.0863,0.0385
"out",0.2,200,200,0.0941,0.0886,0.0388
