"","sigma","N","Ti","fit1","fit2","fit3"
"out",0,30,30,0.0537,0.0396,0
"out",0,50,50,0.0537,0.0453,0
"out",0,70,70,0.0541,0.0475,0
"out",0,100,100,0.0538,0.0495,0
"out",0,150,150,0.0548,0.0519,0
"out",0,200,200,0.0551,0.0533,0
