"","sigma","N","Ti","fit1","fit2","fit3"
"out",0,30,30,0.5149,0.2754,0
"out",0,50,50,0.5353,0.3913,0
"out",0,70,70,0.5322,0.4273,0
"out",0,100,100,0.5371,0.4618,0
"out",0,150,150,0.5406,0.4884,0
"out",0,200,200,0.5378,0.4981,0
